Country,Componenta 1,Componenta 2,Componenta 3,Componenta 4,Componenta 5
Albania,0.0004936267149739416,0.05906620222885085,0.010754728613083768,0.0007623383665707557,0.06417311077916911
Andorra,0.019105271784440974,0.00026426115901064223,0.018689243144526285,0.010751618873153776,0.008765308665238395
Armenia,0.017936142310518193,0.0721878508664278,0.02844936802390593,0.018245108462583384,0.029002560565314826
Austria,0.0001651466790129102,0.0036574549697993446,0.0036406340228385264,6.703078406783597e-05,0.00017503307863762352
Azerbaijan,4.31119043064619e-08,0.02579696614793179,0.022227989806517735,0.08749879290479931,0.04748467140764168
Belarus,0.053853980004569695,0.0841170776032515,0.005466856175897235,0.0004621444129820605,0.004239579789762223
Belgium,0.0009554617777442198,0.007661987801623894,0.084404956943655,0.03250185152135294,0.016076698220961
Bosnia and Herzegovina,0.02157816525098352,0.05622787427481786,7.311033433983807e-07,0.03958497304134447,0.05803059067591927
Bulgaria,0.004165231183103817,0.01698680254622137,0.0210916896669637,0.0012126215006625178,0.002174161079322999
Croatia,0.030148983256510255,0.0012528577820611413,7.730670132577108e-05,0.007637982313974031,2.8478188937575006e-06
Cyprus,0.014755998306194963,0.020974484971869937,0.00010145001988259987,0.024700605792974978,0.002106205463606478
Denmark,0.018251453182544466,0.012175500966900581,0.0018151638153033726,0.01610982859668276,0.019324488977688785
Estonia,0.01694664806607038,0.020463953792109205,0.00018082850410658743,0.012963937170800471,0.008592607494274113
Finland,0.0005164441679922404,0.011417188476311842,0.010158479680539727,0.0007250693521385518,0.0007590168813410673
France,0.0004070062822768989,0.0022712201332959828,0.009516452128584391,0.011163159321123032,0.00014375449018698517
Georgia,0.0039197582965697355,0.08407492524991447,0.007034923853596025,0.02473798431298177,0.01776987478173525
Germany,0.0006853504570513113,0.0002515496428703161,0.0018235804266232805,0.0022436454685281168,0.008025147332118692
Greece,4.5267329490664e-06,0.048064370593307496,0.00021883373521322346,0.0007110233751391043,0.012383112717595611
Hungary,0.03973169623026804,0.008050198507425891,0.007841545501263881,0.010007956334836409,0.0028164471076997555
Iceland,0.0791687825720073,0.04028025229158916,0.0009163605929807886,0.08228601501955231,0.014179126471312795
Ireland,1.2851471295710395e-06,0.003772945569061711,0.019070641896985707,0.004988572699507535,0.04061864785846615
Italy,0.0001495968513043891,0.04043766775843266,0.00841661155204279,0.02057485117081849,0.0006331697238408499
Latvia,0.009406375986358507,0.01993226140325694,8.466224349091484e-06,0.007450857329030009,0.033803582519630115
Liechtenstein,0.020623433069072626,0.010019777689942376,0.4526785776489668,0.1374471602185298,0.0035341355218042906
Lithuania,0.058304312250586236,0.11355812307464545,1.76899473437746e-05,0.003446225087476012,0.11746637557285336
Luxembourg,0.006642651475833289,0.01405342752064487,0.0017971528445325136,0.053893164206266386,0.028511445662390163
Malta,0.019727591127372754,0.046232469229175836,0.11297988499069275,0.00907485844720447,0.05862087721781267
Moldova,0.13334453486988165,6.069217882722369e-07,0.006923638856884794,0.006536316160634005,0.11641019355633589
Monaco,0.1453567368886339,0.047328012590048825,1.4436374314188308e-05,0.2301947805410231,0.015022852284742653
Montenegro,0.0029786458598011372,0.014221909528524344,0.004354763165305322,0.028489873292106963,0.08963218576223671
Netherlands,0.020009184920668804,0.0009858719677492893,0.0009743035695750237,0.011121798914759038,0.0003338826531298272
Norway,0.037803081626690875,0.009645397061031317,0.007079111681929187,0.004814676818373136,0.004104367191993894
Poland,0.019111436490267395,0.0011347055745611662,0.000803845494951103,0.002420101175501772,5.918916889376367e-05
Portugal,0.0009424964397317451,0.0016291105567736769,0.007247500391267678,0.017426440425935424,0.017658520638504746
Romania,0.026608674834247448,0.0074146205064573095,0.0006446701894618303,0.0003854219766543333,0.023183108258633373
San Marino,0.04933611798090855,0.0002475963578861327,0.024080426098696713,0.0003800590882211245,0.0027516065271398064
Serbia,0.005236923055178008,0.00015776132499890083,0.019744792047335293,0.030288477900180237,0.016860130250772362
Slovenia,0.020916872365286686,0.009309436555026213,0.032954438369342635,0.00038970263948988977,0.00748383010463582
Spain,0.0007539906738927066,0.007562598169843959,0.013081951450320477,0.000268136659239254,0.013517139123599699
Sweden,0.020707956382148847,0.007398802768310378,0.0016998799705026768,0.0014498790911145296,0.0013504909302169792
Switzerland,0.01332237651707482,0.023037853408670886,0.01196994300509454,0.004666623539203882,0.0003810688329652294
Ukraine,0.030632303844869306,0.020532928723603763,0.0010926213757769285,0.008417419450224266,0.0011419168610052768
United Kingdom,0.012037891021885802,0.0028873217804852224,0.014697716440688144,0.008245102288768723,0.06744112602648608
