,z1,z2,z3,z4
Remote Jobs,-0.4299077014697293,-0.694465400790009,-0.07646200454627355,0.5322865323413469
Overworked Population,-0.8577277318051854,0.29809047039264047,0.9161848946171466,0.11479500088510983
Min Vacations Offered,0.10075157717128379,0.19929328856183773,0.39231631464301747,0.7624199649357646
Vacations Taken,-0.7677675776747744,0.6608246054344171,-0.2705669273984665,0.34958397035213806
