,u1,u2,u3,u4
Oslo,-1.0328762876187199,-1.2092934377734945,-1.7658854227574543,0.6893467332575484
Bern,0.6492747636707903,-0.013219088383962518,-1.4666422825396142,-1.6830719522741555
Helsinki,-0.6431657463824647,-1.7251563487908892,1.0527078639301721,-0.7341856701569545
Zurich,0.687514581409863,-0.12397832896070299,-1.1708627557338909,-1.7478223558092103
Copenhagen,1.1328143046681696,-1.23632471662012,0.8463883227784782,-0.5333280343449152
Geneva,-0.15966884560483946,0.2980299271647784,-0.6967198313679833,-1.7861694107939818
Ottawa,0.3881742738971114,-0.5860474467910426,-0.6740327035108078,0.46025312799410345
Sydney,-0.5199058547213535,-0.0889254191831197,-1.855636708667736,0.748007848719005
Stuttgart,1.2904583532033196,0.3483612280768123,0.43315968070086824,0.16919405497494455
Munich,0.8879703127079354,-0.7878645152510283,0.04137197767211304,0.19383529816183534
Stockholm,-0.2864724211490545,-0.3625368466569175,0.42980074934388013,-0.07541554415386885
Melbourne,-0.6018786326006988,0.4164626603959744,-1.5135124094459116,0.7136065943262868
Amsterdam,0.504684169857127,-1.0037308322290217,-0.5519992716793155,1.449401951633862
Tokyo,0.133518090570217,-0.11690798711956532,-0.5524877930752813,-2.3008466729319297
Leipzig,0.48450343541999263,0.9828740069667842,0.03154387318036127,0.3106652917793437
Vancouver,-0.17188651410218878,-0.22304281495147055,-0.5091218643410459,0.4683802464298555
Auckland,1.7270528068618474,0.17695362700327122,0.2447807899125673,1.6146558405430105
Hamburg,-0.10795197846267099,0.47839688776123956,0.5605589665523897,0.2000880036335005
Toronto,-0.9625119781772246,-0.33817639660114723,-0.2085092272504293,0.43094066957239335
Frankfurt (am Main),0.2806080093408139,0.8905281495413506,0.2749126130900764,0.26541005916075466
Dusseldorf,-0.13397379609125176,0.09936935272535008,0.7971131645095282,0.13367198108620226
Berlin,-0.20732869828312464,0.08836834649189282,2.170751699717382,-0.1296809582444424
Bremen,-1.1692345246516251,-0.03415271398730909,1.5477780423248366,0.01668852625606381
Liverpool,-0.5907190291544038,0.526977475215317,-1.3179106271970686,0.6269939658978375
Glasgow,0.6918504988579469,0.9017364378137741,-0.10760253269861927,0.3705841180207284
Cologne,-0.6363331415793229,0.4513306712983948,1.4137355600993864,0.051960652581025585
London,0.4486930534684103,1.331670216504239,0.025637883112123686,0.3777524849721201
Paris,-0.9232565152466619,1.8419728843260943,0.5919861381384456,-0.7207710121087753
Graz,0.11058389844737805,-0.8982938079431119,1.8903410588096392,0.011565655028202153
Calgary,-1.2705365885550328,-0.08538117004220953,0.03835504639296643,0.40828850678959716
